Países;Via;Código SH2;Descrição SH2;2025 - Valor US$ FOB;2025 - Quilograma Líquido
China;MARITIMA;68;Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes;14777406;4574995
China;MARITIMA;69;Produtos cerâmicos;111905;40457
China;MARITIMA;70;Vidro e suas obras;96689;9682
China;MARITIMA;71;"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas";45393145;12188988
China;MARITIMA;72;Ferro fundido, ferro e aço;1659760713;153927401
China;MARITIMA;73;Obras de ferro fundido, ferro ou aço;6631493;2997839
China;MARITIMA;74;Cobre e suas obras;159676795;23229349
China;MARITIMA;75;Níquel e suas obras;499583;17956
China;MARITIMA;76;Alumínio e suas obras;19305511;10041840
China;MARITIMA;78;Chumbo e suas obras;50898;27420
China;MARITIMA;79;Zinco e suas obras;641639;188609
China;MARITIMA;80;Estanho e suas obras;3750;25000
China;MARITIMA;81;"Outros metais comuns; ceramais (cermets); obras dessas matérias";47802729;772555
China;MARITIMA;82;Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns;4817553;335127
China;MARITIMA;83;Obras diversas de metais comuns;137494;38196
China;MARITIMA;84;Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes;159449078;7835463
China;MARITIMA;85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";31402720;2759811
China;MARITIMA;86;"Veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização para vias de comunicação";3191463;1121567
China;MARITIMA;87;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;7628973;647386
China;MARITIMA;89;Embarcações e estruturas flutuantes;7745;244
China;MARITIMA;90;"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios";6315157;92858
China;MARITIMA;91;Artigos de relojoaria;4443;68
China;MARITIMA;92;"Instrumentos musicais; suas partes e acessórios";224;1
China;MARITIMA;94;"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré";877073;286322
China;MARITIMA;95;"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios";318410;981397
China;MARITIMA;96;Obras diversas;685496;69690
