metric;value;classification
HHI_imports;2078.3;Moderately concentrated
HHI_exports;1603.3;Moderately concentrated
imports_top1_pct;40.16;Santos
imports_top5_pct;78.66;
imports_top10_pct;96.17;
exports_top1_pct;31.05;Santos
exports_top5_pct;76.01;
exports_top10_pct;95.55;
