category;fob_usd;kg;n_chapters;fob_share_pct;kg_share_pct;usd_per_tonne;direction
raw;95322960382;153258697793;22;95.67;99.13;622.0;BR→CN exports
semi;4025209391;1311315514;33;4.04;0.85;3070.0;BR→CN exports
finished;290982322;34574469;34;0.29;0.02;8416.0;BR→CN exports
