Segment,TEstadia_Med,TEsperaAtracacao_h,TEsperaInicioOp_h,TOperacao_h,TEsperaDesatracacao_h,Pct_Espera_Atr,Pct_Espera_Ini,Pct_Operacao,Pct_Espera_Des,N
Feeder Max,85.725,4.5,2.1916666664999997,38.066666665,3.333333333,5.249343832020998,2.556624866141732,44.4055604141149,3.888402838145232,92
Sub-Panamax,45.43333333,10.95,1.883333333,18.991666665,2.6,24.101247250484313,4.145267791206549,41.801173880543004,5.7226705800236735,271
Post-Panamax,37.3,10.28333333,1.683333333,18.075,2.2,27.569258257372653,4.5129579973190355,48.458445040214485,5.898123324396784,216
New Panamax,52.958333335,17.39166667,1.3,24.5,2.2333333335,32.84028324680282,2.454760031394028,46.2627852070413,4.217151849119838,114
