Porto_Removido,n,rho,p_aprox
Itajaí,9,0.8,0.0133
São Francisco do Sul,9,0.8167,0.0107
Paranaguá,9,0.8167,0.0107
Salvador,9,0.8167,0.0107
Rio de Janeiro,9,0.8167,0.0107
Santos,9,0.8667,0.0051
Itaguaí,9,0.8667,0.0051
Pecém,9,0.8667,0.0051
Rio Grande,9,0.8667,0.0051
Suape,9,0.9667,0.0007
