IDBerco,Nome_Berco,Terminal,Porto,Taxa_Media_Pct,Taxa_Carga_Media_Pct,Taxa_Max_Mensal_Pct,Dias_Acima_80,Dias_Acima_95,Mes_Pico,Status,N_Dias,N_Atr,TEstadia_Med,TEspera_Med
SFS0300,TESC,TESC,São Francisco do Sul,30.8,24.1,44.2,93,79,Abr,Verde,365,42.0,123.3166667,75.0
SSA0300,TECON,TECON,Salvador,28.8,28.8,78.4,89,84,Out,Verde,365,26.0,76.0,4.125
SSA0203,Cais Público,Cais Público,Salvador,27.0,23.6,54.0,70,60,Abr,Verde,365,60.0,17.333333335,0.6916666665
RIG3900,Cais Multiplopropósito,Cais Multiplopropósito,Rio Grande,26.4,21.3,72.0,81,77,Fev,Verde,365,24.0,119.60833335000001,11.516666664999999
RIG3150,Pier da Braskem S.A.,Pier da Braskem S.A.,Rio Grande,25.6,25.6,42.2,49,25,Ago,Verde,365,35.0,49.06666667,3.95
ITJ0201,Cais público - APS-ITAJAÍ (cadastro antigo),Cais público - APS-ITAJAÍ (cadastro antigo),Itajaí,22.8,14.9,74.1,64,63,Jun,Verde,365,26.0,20.341666664999998,4.4
RIO2R11,Multi-CAR,Multi-CAR,Rio de Janeiro,21.6,21.2,28.5,39,16,Out,Verde,365,84.0,23.583333335,1.066666667
RIO2117,Cais Público Gamboa T1,Cais Público Gamboa T1,Rio de Janeiro,19.7,0.0,100.0,70,70,Jun,Verde,365,,,
SSZ0322,Cais Público - Valongo,Cais Público - Valongo,Santos,18.9,14.2,66.9,64,64,Nov,Verde,365,3.0,,
BRSC0080001,Berço 1,Portonave - Terminais Portuários de Navegantes,Itajaí,15.5,15.5,78.5,40,5,Nov,Verde,365,89.0,34.45,18.75
RIG3113,Pier Petroleiro,Pier Petroleiro,Rio Grande,15.4,15.4,20.3,2,1,Jun,Verde,365,,,
RIO5065,Term. MULTICAR 1,Multi-CAR,Rio de Janeiro,14.7,13.1,26.3,32,28,Out,Verde,365,46.0,22.0,1.2916666664999998
PNG5022,Berço 219,CAIS PÚBLICO,Paranaguá,14.3,14.3,26.0,11,2,Set,Verde,365,92.0,23.275,9.3416666665
RIO2F09,Fundeio,Fundeio,Rio de Janeiro,13.9,13.9,21.0,36,24,Jul,Verde,365,30.0,143.75833335,97.33333333499999
RIG0048,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,11.2,8.3,42.5,31,28,Set,Verde,365,17.0,,
BRCE0015011,TMUT-B7 - Cabeços 28 a 35,Terminal Portuário do Pecém,Pecém,10.2,10.2,30.3,33,28,Mar,Verde,365,11.0,,
SSZ0627,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,9.9,0.0,20.8,20,19,Out,Verde,365,29.0,12.16666667,0.9333333335
RIG0411,Cais do Porto Velho,Cais do Porto Velho,Rio Grande,9.1,6.8,14.1,2,0,Abr,Verde,365,71.0,21.51666667,9.0
RIO2103,Pier Mauá,Pier Mauá,Rio de Janeiro,8.4,0.0,29.1,7,3,Jan,Verde,365,45.0,11.95,0.75
SSA0207,Cais Público,Cais Público,Salvador,8.2,7.9,31.9,23,20,Ago,Verde,365,11.0,,
