Terminal,N_Total,TEstadia_Feeder Max,TEspera_Feeder Max,N_Feeder Max,TEstadia_Sub-Panamax,TEspera_Sub-Panamax,N_Sub-Panamax,TEstadia_Post-Panamax,TEspera_Post-Panamax,N_Post-Panamax,TEstadia_New Panamax,TEspera_New Panamax,N_New Panamax,TEstadia_ULCV,TEspera_ULCV,N_ULCV
Cais da BTP (SSZ 41) - Privativo,62,,,3,55.4,27.1,38,,,18,,,1,,,2
Cais da Santos Brasil (SSZ 16) - Privativo,61,,,0,39.1,13.0,26,,,18,,,17,,,0
